Time (s),Ax,Ay,Az,Temp (C),Humidity (%)
256.564,3284.0,492.0,-16220.0,0.0,0.0
259.276,2956.0,816.0,-15824.0,0.0,0.0
264.884,1924.0,480.0,-15872.0,0.0,0.0
265.496,3876.0,1268.0,-14184.0,0.0,0.0
266.312,-924.0,7624.0,-32768.0,0.0,0.0
267.202,-1196.0,-372.0,-13268.0,0.0,0.0
268.12,-1932.0,932.0,-12144.0,0.0,0.0
269.214,652.0,1556.0,-19172.0,0.0,0.0
270.336,484.0,1300.0,-15896.0,0.0,0.0
270.438,564.0,1156.0,-15964.0,0.0,0.0
271.937,-3936.0,-664.0,-17056.0,0.0,0.0
273.437,3640.0,3596.0,-14832.0,0.0,0.0
274.252,3016.0,836.0,-13024.0,0.0,0.0
275.447,1804.0,4428.0,-17852.0,0.0,0.0
276.362,4048.0,7264.0,-13952.0,0.0,0.0
277.558,2796.0,10048.0,-10052.0,0.0,0.0
277.965,3084.0,9280.0,-9992.0,0.0,0.0
278.956,3080.0,6604.0,-16708.0,0.0,0.0
279.976,4220.0,6532.0,-10700.0,0.0,0.0
281.274,628.0,7372.0,-11180.0,0.0,0.0
282.396,-2084.0,5408.0,-14748.0,0.0,0.0
284.408,-1716.0,4232.0,-10772.0,0.0,0.0
286.522,-288.0,1324.0,-15228.0,0.0,0.0
287.004,-1976.0,-656.0,-16932.0,0.0,0.0
287.922,-888.0,-2608.0,-20436.0,0.0,0.0
